# nongraphitized carbon black (BP 280), Ar, 87 K, data
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 15.60 [cm3(STP)/g], S(BET) = 35.9 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 35.9/15.60 = slope[cm3(STP)/g] * 2.301282
# [pyGAPS] BET surface area: a = 36 m2/g, C = 138, Amount for a monolayer: n = 0.00043 mol/g
#   Amount for a monolayer: n = 0.00043 / (1/1000/22.414) = 0.00043 / 4.461e-5 = 9.63909437 [cm3(STP)/g]
# L. Gardner et al., J. Phys. Chem. B 105 (2001).
# P/P0, alpha-s, V[cm3(STP)/g], t[nm]
0.86, 2.07, 32.292, 1.125636038
0.879, 2.21, 34.476, 1.201766012
0.898, 2.39, 37.284, 1.299647407
0.91, 2.52, 39.312, 1.370339525
0.919, 2.65, 41.34, 1.441031643
0.927, 2.8, 43.68, 1.522599472
0.935, 2.97, 46.332, 1.615043012
0.947, 3.29, 51.324, 1.78905438
0.953, 3.5, 54.6, 1.90324934
0.963, 3.97, 61.932, 2.158828537
0.972, 4.68, 73.008, 2.544916261
0.982, 6.22, 97.032, 3.38234597
0.987, 7.73, 120.588, 4.203462114
